,Date,Name,Price,Nal
0,15:20_10-11-2021,"Gazer 49"" 4K Smart TV (TV49-US2)",Наличие уточняет менедже,14 499 грн
1,15:20_10-11-2021,"Gazer 43"" Full HD Smart TV (TV43-FS2)",Есть в наличии,10 999 грн
2,15:20_10-11-2021,"Gazer 32"" Full HD Smart TV (TV32-FS2)",Есть в наличии,8 199 грн
3,15:20_10-11-2021,"Gazer 32"" HD Smart TV (TV32-HS2)",Есть в наличии,6 899 грн
4,15:20_10-11-2021,"Gazer 24"" HD Smart TV (TV24-HS2)",Есть в наличии,5 999 грн
5,15:20_10-11-2021,"Gazer 40"" Full HD Smart TV (TV40-FS2)",Есть в наличии,10 499 грн
6,15:20_10-11-2021,"Gazer 55"" 4K Smart TV (TV55-US2)",Есть в наличии,18 399 грн
7,15:20_10-11-2021,"Gazer 43"" 4K Smart TV (TV43-US2)",Есть в наличии,13 999 грн
8,15:20_10-11-2021,Пульт к Gazer TV RC15,Есть в наличии,599 грн
9,15:20_10-11-2021,Gazer Universal 6.95 Full touch - 178x100 CM6507-100F,Наличие уточняет менедже,10 999 грн
10,15:20_10-11-2021,"Gazer Universal Android 2DIN с антибликовым экраном 7"" HD/IPS/Antiglare CM6507-100H",Наличие уточняет менедже,12 799 грн
11,15:20_10-11-2021,Gazer Universal 6.2 - 170x96 CM6006-100D,Наличие уточняет менедже,12 000 грн
12,15:20_10-11-2021,Gazer MUW5000,Наличие уточняет менедже,5 999 грн
13,15:20_10-11-2021,Gazer MUW7000,Наличие уточняет менедже,8 999 грн
14,15:20_10-11-2021,Gazer F715,Есть в наличии,1 699 грн
15,15:20_10-11-2021,Gazer Universal 6.95 CM6507-100S,Ожидается,8 888 грн
16,15:20_10-11-2021,"Gazer Universal Android с антибликовым экраном 6.95"" 800x480, IPS/Antiglare CM5507-100",Ожидается,7 999 грн
17,15:20_10-11-2021,"Gazer Universal Android с антибликовым экраном 7"" HD/IPS/Antiglare CM5507-100H",Ожидается,8 999 грн
18,15:20_10-11-2021,"Gazer Universal Android с DVD и антибликовым экраном 6.2"" CM5006-100D",Ожидается,7 999 грн
19,15:20_10-11-2021,Gazer F125,Ожидается,2 999 грн
20,15:20_10-11-2021,Gazer F155,Наличие уточняет менедже,5 999 грн
21,15:20_10-11-2021,Gazer F118,Есть в наличии,2 199 грн
22,15:20_10-11-2021,Gazer F750w,Наличие уточняет менедже,9 999 грн
23,15:20_10-11-2021,Gazer F730,-,-
24,15:20_10-11-2021,Null,-,-
